Operadores_de_red,dia,potencia,lunes,martes,miercoles,jueves,viernes,sabado,domingo
MC-Antioquia,1,EN,883.0000000000,923.0000000000,924.0000000000,921.0000000000,938.0000000000,956.0000000000,907.0000000000
MC-Antioquia,2,EN,850.0000000000,884.0000000000,884.0000000000,881.0000000000,899.0000000000,910.0000000000,860.0000000000
MC-Antioquia,3,EN,834.0000000000,865.0000000000,868.0000000000,865.0000000000,878.0000000000,883.0000000000,828.0000000000
MC-Antioquia,4,EN,835.0000000000,870.0000000000,870.0000000000,873.0000000000,881.0000000000,875.0000000000,814.0000000000
MC-Antioquia,5,EN,898.0000000000,933.0000000000,933.0000000000,936.0000000000,944.0000000000,909.0000000000,816.0000000000
MC-Antioquia,6,EN,1031.0000000000,1063.0000000000,1059.0000000000,1060.0000000000,1067.0000000000,963.0000000000,830.0000000000
MC-Antioquia,7,EN,1134.0000000000,1154.0000000000,1152.0000000000,1157.0000000000,1160.0000000000,1034.0000000000,842.0000000000
MC-Antioquia,8,EN,1213.0000000000,1201.0000000000,1223.0000000000,1222.0000000000,1228.0000000000,1122.0000000000,894.0000000000
MC-Antioquia,9,EN,1286.9190000000,1255.8710000000,1277.0000000000,1280.0000000000,1288.0000000000,1211.0000000000,962.0000000000
MC-Antioquia,10,EN,1336.9190000000,1295.8710000000,1321.0000000000,1321.0000000000,1334.0000000000,1271.0000000000,1028.0000000000
MC-Antioquia,11,EN,1392.9190000000,1358.8710000000,1387.0000000000,1386.0000000000,1397.0000000000,1327.0000000000,1082.0000000000
MC-Antioquia,12,EN,1431.9190000000,1400.8710000000,1434.0000000000,1434.0000000000,1446.0000000000,1363.0000000000,1130.0000000000
MC-Antioquia,13,EN,1444.0000000000,1402.0000000000,1437.0000000000,1434.0000000000,1441.0000000000,1362.0000000000,1165.0000000000
MC-Antioquia,14,EN,1423.0000000000,1377.0000000000,1417.0000000000,1409.0000000000,1423.0000000000,1324.0000000000,1157.0000000000
MC-Antioquia,15,EN,1416.0000000000,1380.0000000000,1414.0000000000,1416.0000000000,1430.0000000000,1286.0000000000,1125.0000000000
MC-Antioquia,16,EN,1418.0000000000,1386.0000000000,1410.0000000000,1416.0000000000,1439.0000000000,1271.0000000000,1110.0000000000
MC-Antioquia,17,EN,1395.0000000000,1362.0000000000,1376.0000000000,1389.0000000000,1404.0000000000,1256.0000000000,1091.0000000000
MC-Antioquia,18,EN,1338.0000000000,1312.0000000000,1325.0000000000,1337.0000000000,1345.0000000000,1238.0000000000,1079.0000000000
